baseline,seed,step,mean_return
none,0,5000,-795.3909880927239
none,0,10000,-900.5218057821461
none,0,15000,-1035.5375085475348
none,0,20000,-880.6387109883059
none,0,25000,-559.4823600724247
none,0,30000,-860.8123744307975
none,0,35000,-771.0463073102155
none,0,40000,-1050.297610666541
none,0,45000,-139.62612065832855
none,0,50000,-574.1154108239125
none,1,5000,-739.693478723276
none,1,10000,-285.23069763565906
none,1,15000,-686.5449825355604
none,1,20000,-113.68993932693847
none,1,25000,-142.14726698111
none,1,30000,-161.02911359188155
none,1,35000,-212.22567246787875
none,1,40000,-234.68576834494235
none,1,45000,-223.08439615656008
none,1,50000,-223.01880735229787
none,2,5000,-136.93063010860448
none,2,10000,-189.21182954574934
none,2,15000,-271.9233867812645
none,2,20000,-210.96455225983786
none,2,25000,-296.8337857157681
none,2,30000,-253.9353274232743
none,2,35000,-217.65507048522494
none,2,40000,-276.9181356550495
none,2,45000,-249.8937296984634
none,2,50000,-168.2311783726303
none,3,5000,-473.130531086775
none,3,10000,-596.5034297190487
none,3,15000,-772.7744548219829
none,3,20000,-498.82395779955743
none,3,25000,-308.5629757207968
none,3,30000,-343.47772300196874
none,3,35000,-340.30444100090847
none,3,40000,-251.86221201851876
none,3,45000,-130.57138329518577
none,3,50000,-342.40334709713045
none,4,5000,-975.4488787392518
none,4,10000,-103.9599896267267
none,4,15000,-116.62142414530963
none,4,20000,-401.1587328412441
none,4,25000,-400.2035239707387
none,4,30000,-189.573344016681
none,4,35000,-206.5460421241318
none,4,40000,-151.97839435548727
none,4,45000,-266.122235690699
none,4,50000,-203.5832738031643
avg,0,5000,-795.3909880927239
avg,0,10000,-718.8197259737055
avg,0,15000,-1335.6465168198506
avg,0,20000,-1122.9639048196595
avg,0,25000,-731.2077549475988
avg,0,30000,-591.2934772160252
avg,0,35000,-282.01408542195065
avg,0,40000,-624.7843689444518
avg,0,45000,-106.04598219992802
avg,0,50000,-283.3889821344754
avg,1,5000,-739.693478723276
avg,1,10000,-285.23069763565906
avg,1,15000,-686.5449825355604
avg,1,20000,-111.93450677181515
avg,1,25000,-287.39501026631916
avg,1,30000,-114.04711841865988
avg,1,35000,-63.03694515382
avg,1,40000,-158.5557404343993
avg,1,45000,-262.3606376464524
avg,1,50000,-163.82289464500735
avg,2,5000,-136.93063010860448
avg,2,10000,-189.21182954574934
avg,2,15000,-271.9233867812645
avg,2,20000,-210.96455225983786
avg,2,25000,-339.3227143719255
avg,2,30000,-440.6253307122828
avg,2,35000,-264.5270289969253
avg,2,40000,-296.7845229939966
avg,2,45000,-186.31665336325722
avg,2,50000,-276.48926579190555
avg,3,5000,-473.130531086775
avg,3,10000,-598.4482080370104
avg,3,15000,-772.7744548219829
avg,3,20000,-498.82395779955743
avg,3,25000,-308.5629757207968
avg,3,30000,-338.73908560065104
avg,3,35000,-372.09797677922614
avg,3,40000,-291.47235104341075
avg,3,45000,-152.41949860636822
avg,3,50000,-118.13154540944015
avg,4,5000,-975.4488787392518
avg,4,10000,-102.19726545757973
avg,4,15000,-116.62142414530963
avg,4,20000,-400.0830793243773
avg,4,25000,-386.8368551862133
avg,4,30000,-184.10540862739475
avg,4,35000,-120.49588237000405
avg,4,40000,-117.48688184670209
avg,4,45000,-187.6637829715293
avg,4,50000,-206.48549252750362
value,0,5000,-863.5467840586689
value,0,10000,-573.2986215365297
value,0,15000,-597.2501144758188
value,0,20000,-613.212061294638
value,0,25000,-476.6467866705466
value,0,30000,-429.9703823985548
value,0,35000,-665.9161839940464
value,0,40000,17.25496228491151
value,0,45000,-211.60379036731
value,0,50000,-343.20607765369766
value,1,5000,-182.5832291577696
value,1,10000,-140.25821007286248
value,1,15000,-549.3548348153396
value,1,20000,-828.2361474580441
value,1,25000,-294.3324464354572
value,1,30000,-115.19750169657065
value,1,35000,-527.0461575227439
value,1,40000,-803.1515247940594
value,1,45000,-352.38839888502287
value,1,50000,-227.50891455833388
value,2,5000,-775.2927825209555
value,2,10000,-642.7936822141422
value,2,15000,-1128.826026908836
value,2,20000,-1157.915634790644
value,2,25000,-360.1631369970604
value,2,30000,-147.303833192514
value,2,35000,-156.69086905945804
value,2,40000,-185.22126150973276
value,2,45000,-143.83317201235124
value,2,50000,-104.39977266418012
value,3,5000,-741.3549743635458
value,3,10000,-974.9571430480349
value,3,15000,-891.9278877406465
value,3,20000,-730.648155389913
value,3,25000,-572.6032074775
value,3,30000,-193.55562502666078
value,3,35000,-146.5179385202385
value,3,40000,-188.35228849638833
value,3,45000,-254.10617369361472
value,3,50000,-404.5066237940211
value,4,5000,-251.2638403443434
value,4,10000,-109.14642034820733
value,4,15000,-307.14379120545544
value,4,20000,-377.31769418206835
value,4,25000,-388.3185660318136
value,4,30000,-223.96446314969967
value,4,35000,-310.2571500417027
value,4,40000,-419.2766101291787
value,4,45000,-277.1517660938142
value,4,50000,-329.44074343894056
gae,0,5000,-1082.000028966087
gae,0,10000,-1160.191256958914
gae,0,15000,-261.51516990565113
gae,0,20000,-309.5279260268532
gae,0,25000,-252.28176718817312
gae,0,30000,-120.94822311731032
gae,0,35000,-212.16777265572168
gae,0,40000,-214.25658299056803
gae,0,45000,-131.3514024075512
gae,0,50000,-195.77067434440536
gae,1,5000,82.55993287670901
gae,1,10000,-717.6245922758782
gae,1,15000,-586.6004273545319
gae,1,20000,-385.6536772274517
gae,1,25000,-223.97675320580566
gae,1,30000,-200.70790280761906
gae,1,35000,-236.34444307500775
gae,1,40000,-158.76499161795232
gae,1,45000,-120.91395372227439
gae,1,50000,-45.98701298465657
gae,2,5000,-832.0793241724666
gae,2,10000,-664.6056555077153
gae,2,15000,-375.9669464321013
gae,2,20000,-503.91896695901244
gae,2,25000,-198.58953837945117
gae,2,30000,-237.02284877913772
gae,2,35000,-296.54231129328474
gae,2,40000,-244.6608165506997
gae,2,45000,-490.433018936291
gae,2,50000,-604.4590350686216
gae,3,5000,-1115.2717711042483
gae,3,10000,-192.99446419149422
gae,3,15000,-1141.6913004814157
gae,3,20000,-653.512017990601
gae,3,25000,-274.82476247249247
gae,3,30000,-678.832284399212
gae,3,35000,-957.1621128209654
gae,3,40000,-358.84939108614515
gae,3,45000,-201.0998698964765
gae,3,50000,-256.46088095984544
gae,4,5000,-128.87612713462985
gae,4,10000,-146.7300377988733
gae,4,15000,-319.63844095934337
gae,4,20000,-231.42154484234297
gae,4,25000,-583.6057698569144
gae,4,30000,-357.3679766389585
gae,4,35000,-290.30341310453264
gae,4,40000,-241.06517330357119
gae,4,45000,-457.23027174087963
gae,4,50000,-472.9209177273939
